decision_id,meeting_id,source_sentence_id,sentence_text,evidence_da_count,evidence_text,status,decision_object,decision_content,annotator,notes,machine_flags
ES2015a.d01,ES2015a,ES2015a.elana.s.11,It will be a television remote control.,1,"A: Yes , it's a television remote control .",,,,,,frase_corta
ES2015a.d02,ES2015a,ES2015a.elana.s.12,The selling price will be twenty five Euros.,1,"A: um , wanna make this um <gap> selling price of twenty five Euros .",,,,,,
ES2015a.d03,ES2015a,ES2015a.elana.s.13,The profit will be fifty million Euros.,1,"A: Um , we'd like to , um to , uh , make fifty million Euro .",,,,,,
ES2015a.d04,ES2015a,ES2015a.elana.s.14,The remote will target the international market.,1,"A: Um , and make it for an international market .",,,,,,
ES2015a.d05,ES2015a,ES2015a.elana.s.15,The control will cost a maximum of twelve Euro and fifty cents to produce.,1,"A: Um , we want it to cost , uh , absolute maximum of twelve Euro and fifty cents .",,,,,,
ES2015b.d01,ES2015b,ES2015b.elana.s.11,The remote will be a single function design- television only.,3,"D: because we're trying to do so much , that if we're trying to make a unique , user-friendly , dadada , and it's also multi also multifunctional , um , we're gonna go over budget for one thing . | C: And with this we'll have more room in the budget probably to make a more original design . | A: Um , for one thing , because <disfmarker> Having controls with D_V_D_ , V_C_R_ , that sort of thing , would really complicate the design of the remote control . Um , we've decided not to include them and make it a specific , just a specific television um function .",,,,,,
ES2015b.d02,ES2015b,ES2015b.elana.s.12,Teletext is outdated and will not be used.,1,"A: Another thing that might um affect other decisions is that um the management feels that teletext is outdated , because more people are using the internet now .",,,,,,frase_corta
ES2015b.d03,ES2015b,ES2015b.elana.s.13,Remotes must incorporate corporate logo and color.,1,"A: So , um , all the remote controls must have our um <disfmarker> We'll incorporate our logo and colour in in some way .",,,,,,
ES2015b.d04,ES2015b,ES2015b.elana.s.14,"No LCD, no voice recognition.",1,"D: So no L_C_D_ , no teletext , and no voice recognition .",,,,,,frase_corta
ES2015b.d05,ES2015b,ES2015b.elana.s.15,Alarm locator will be implemented.,1,A: I think we should definitely go ahead with the alarm system idea that you had .,,,,,,frase_corta
ES2015b.d06,ES2015b,ES2015b.elana.s.16,"Glow in the dark buttons, self-timed lighting.",2,"A: um , the glow-in-the-dark , fluorescent , whatever , system , um is a go ahead . | A: So we've decided on lighting up things .",,,,,,
ES2015b.d07,ES2015b,ES2015b.elana.s.17,Will consider using number-shaped buttons.,1,"A: We could , may , possibly , sorry , incorporate them both so that the buttons could maybe be in the shape of the numbers themselves and be made out of some glow-in-the-dark material .",,,,,,
ES2015b.d08,ES2015b,ES2015b.elana.s.18,Will research changable covers.,2,"A: I think that we should incorporate that . | D: You could start out with three , and if , if we hit it big then we can add some on .",,,,,,frase_corta
ES2015b.d09,ES2015b,ES2015b.elana.s.19,Will reserach environmental factor.,2,"A: Um , so we'll have to investigate how much that will cost us , cost the company , | A: We'll have to do more research .",,,,,,frase_corta
ES2015c.d01,ES2015c,ES2015c.elana.s.14,"Command interface is the best for a remote, so it will be used.",2,"C: I think we're gonna go with the command interface anyway , | C: to make it more simplistic .",,,,,,
ES2015c.d02,ES2015c,ES2015c.elana.s.15,Control will light up when you touch a button.,2,"A: so we have that taken care of . | D: Um , the temporary light-up idea , sounds like we're gonna stick to that .",,,,,,
ES2015c.d03,ES2015c,ES2015c.elana.s.16,Will use personal face places.,3,"D: and I'd like to stick to that . | D: um of course , as <disfmarker> we , we've already talked about the personal face-plates in this meeting , | A: yeah , interchangeable plates .",,,,,,frase_corta
ES2015c.d04,ES2015c,ES2015c.elana.s.17,The remote will run on kinetic energy.,1,"A: Energy , we've decided on kinetic , right ?",,,,,,
ES2015c.d05,ES2015c,ES2015c.elana.s.18,Push buttons will be used.,1,"A: I think we decided on the pushbuttons , right ?",,,,,,frase_corta
ES2015c.d06,ES2015c,ES2015c.elana.s.19,Regular chip will be used.,1,B: So regular chip .,,,,,,frase_corta
ES2015c.d07,ES2015c,ES2015c.elana.s.20,Case will be plastic and coated in rubber.,2,"D: So the actual remote would be hard plastic and the casings rubber . | A: Well , I guess plastic and coated in rubber .",,,,,,
ES2015c.d08,ES2015c,ES2015c.elana.s.21,"Functions will be basic, including power, channels, volume.",3,"C: just just the basic button functions . | B: So we're just going for power , channels , volume , | B: We can just go for , make it a selling point that it is just the basic .",,,,,,posible_compuesta
ES2015d.d01,ES2015d,ES2015d.elana.s.12,Numbers have a circular design.,2,"B: um we went for like a a circular design for the numbers | B: Okay , as for the colours , we were presented with um a limited range of colours for this prototype .",,,,,,frase_corta
ES2015d.d02,ES2015d,ES2015d.elana.s.13,Casing will be interchangable and color schemes will be named and colored after fruits and vegetables.,3,"B: Um and we're thinking to carry-on with the fruit and vegetable theme , the colour um combination just could just be named after different fruit , | B: But we're thinking that , seeing as we're having it in interchangeable casing anyway , | B: like banana could be black and yellow , watermelon red and green ,",,,,,,
ES2015d.d03,ES2015d,ES2015d.elana.s.14,"Will be two colors, one for case and one for buttons.",1,A: So it's like special colour <disfmarker> well we'll have two colours,,,,,,posible_compuesta
ES2015d.d04,ES2015d,ES2015d.elana.s.15,Will use a regular chip.,1,A: Um we're using a regular chip .,,,,,,frase_corta
ES2015d.d05,ES2015d,ES2015d.elana.s.16,The remote will be double-curved.,1,"A: Um , it's cur it's double curved , so its curved all around .",,,,,,frase_corta
ES2015d.d06,ES2015d,ES2015d.elana.s.17,Will be made of plastic and rubber (rubber on remote for comfort).,1,"A: Um , we're using plastic and rubber ,",,,,,,
ES2015d.d07,ES2015d,ES2015d.elana.s.18,Product costing is 1.20 Euros.,0,,,,,,,sin_evidencia;frase_corta
