decision_id,meeting_id,source_sentence_id,sentence_text,evidence_da_count,evidence_text,status,decision_object,decision_content,annotator,notes,machine_flags
IS1009a.d01,IS1009a,IS1009a.elana.s.14,Selling price will be twenty five Euro.,1,A: Um selling price is supposed to be twenty five Euro .,,,,,,
IS1009a.d02,IS1009a,IS1009a.elana.s.15,Company aims to profit fifty million Euro.,1,"A: Uh profit aim for the company is fifty million Euro ,",,,,,,
IS1009a.d03,IS1009a,IS1009a.elana.s.16,"It should be compact, multi-functional, different in shape/color/material.",4,"B: And um and it should have multi-purpose . | B: Yes , I I feel that all the remote should be very compact . | B: Like uh the remote control which we use for T_V_ , it shou uh it should be used f uh for some other purpose also , like controlling the uh temperature inside the house or for air-conditioners , or for heating system . | B: Yeah , design should be , yeah <disfmarker> it should be different .",,,,,,posible_compuesta
IS1009a.d04,IS1009a,IS1009a.elana.s.17,Have a locator to help find the remote when it is lost.,2,"D: I think another thing that would help is um if it beeps when you clap , | A: Well or yeah or if it's really , if it's really in a dark spot that it gives out a a sound or a signal .",,,,,,
IS1009b.d01,IS1009b,IS1009b.elana.s.10,They cannot make a device that works on the whole house- will need a focus.,2,"D: and it looks to me that within the budget that we're looking at the uh the whole house idea really isn't gonna be possible . | D: At the budget that we're looking at and at the price point we're looking at , we should be able to make it work the T_V_ , the V_C_R_ , the stereo set um maybe something else cute like a coffee pot or one other appliance or maybe a lamp .",,,,,,
IS1009b.d02,IS1009b,IS1009b.elana.s.11,They will eliminate teletext.,1,"A: Um the one thing for example <disfmarker> something to eliminate maybe that's the teletext ,",,,,,,frase_corta
IS1009b.d03,IS1009b,IS1009b.elana.s.12,They will maintain the corporate image by using the proper designs and colors.,1,"A: and the third thing that they wanna make sure um that their <disfmarker> that the corporate image is being maintained , and that the corporate colour and design are being used on the product ,",,,,,,
IS1009b.d04,IS1009b,IS1009b.elana.s.13,Their target group is basically everybody who owns a TV.,2,A: but <vocalsound> uh the target group as a whole is is basically everybody with a T_V_ . | A: I I think to sum it up the target group is basically everybody .,,,,,,
IS1009c.d01,IS1009c,IS1009c.elana.s.15,"They decided that the product should be bright, colorful, trendy in design, strong, compact, have push buttons, and contain supplement features (possibly mute button, swapping button, voice recognition).",2,"D: Bright , colourful , trendy trendy design , and strong . | A: Trendy design , compact and strong .",,,,,,posible_compuesta
IS1009c.d02,IS1009c,IS1009c.elana.s.16,The power source will be batteries because it is cost-effective.,3,"D: I think I think battery , | D: and I think we all agreed on that . | D: That that's that's gonna be most cost-effective and the best thing .",,,,,,
IS1009c.d03,IS1009c,IS1009c.elana.s.17,They will have the industrial engineer do more research on the cost of voice recognition before deciding whether to include that function.,0,,,,,,,sin_evidencia
IS1009d.d01,IS1009d,IS1009d.elana.s.11,"The remote is a snail shape with bright colors, blue and yellow with multi-colored buttons.",3,C: Uh this is us in a snail shape so uh it it is attractive | C: it's blue in colour | C: uh bright and uh it has yellow buttons and all the different colour buttons,,,,,,posible_compuesta
IS1009d.d02,IS1009d,IS1009d.elana.s.12,Compact in size.,1,C: Uh and also compact in shape .,,,,,,frase_corta
IS1009d.d03,IS1009d,IS1009d.elana.s.13,It includes a remote holder in the shape of a shell.,2,B: and one more feature is we we have a holder for this remote which is an oyster shape . | B: A shell shape .,,,,,,
IS1009d.d04,IS1009d,IS1009d.elana.s.14,The case will be made of plastic and the buttons of soft rubber.,1,C: Um the material is plastic and uh for the buttons it is uh s soft rubber,,,,,,
IS1009d.d05,IS1009d,IS1009d.elana.s.15,"Its features will include an on/off button, two mute buttons, nine channel buttons, two buttons for increasing/decreasing the volume, two buttons for scrolling up/down channels, a menu button in the center which controls the color/sharpness/brightness of the picture, and a swapping button.",6,B: Now we have included another feature that is the mute button | B: Now uh we have included the switch on and off button . | B: Then we have included one to nine buttons | B: We have also included two buttons for increasing or decreasing the volume . | B: Now our <disfmarker> our model also contains a button which is called as the menu button . | B: We have also included a button which is called as the swapping button .,,,,,,posible_compuesta
IS1009d.d06,IS1009d,IS1009d.elana.s.16,"Channel buttons numbered, rest of the buttons have symbols indicating function.",1,"B: Yes , it will have uh <disfmarker> these buttons will have the numbers and all the rest of the buttons will have symbols .",,,,,,
IS1009d.d07,IS1009d,IS1009d.elana.s.17,Light emitting diode is flourescent green.,1,"C: And then um uh for the <disfmarker> for the led , for the light emitting diode it is a fluorescent green",,,,,,
IS1009d.d08,IS1009d,IS1009d.elana.s.18,"In their cost evaluation they got 8.20, not factoring in the voice recognition feature.",2,"A: Eight , eight point two . | A: In the financing there was no room for our voice recogniser .",,,,,,
IS1009d.d09,IS1009d,IS1009d.elana.s.19,They decide to settle for the level of quality the remaining 4.30 euros will get them.,2,A: I mean maximum we have another four point three euros I mean <vocalsound> four thirty . | D: So we're just gonna have to settle for whatever quality that will buy us .,,,,,,
