decision_id,meeting_id,source_sentence_id,sentence_text,evidence_da_count,evidence_text,status,decision_object,decision_content,annotator,notes,machine_flags
IS1006a.d01,IS1006a,IS1006a.rdhillon.s.10,The remote will be sold for 25 Euro.,1,D: So . Twenty five Euro for a remote control .,,,,,,frase_corta
IS1006a.d02,IS1006a,IS1006a.rdhillon.s.11,The production costs for the remote will be 12.50 Euro maximum.,1,A: Mm <vocalsound> for a production cost of mm twelve fifty Euros maximum .,,,,,,
IS1006a.d03,IS1006a,IS1006a.rdhillon.s.12,The remote will be child proof.,1,A: Remote controls children proof .,,,,,,frase_corta
IS1006a.d04,IS1006a,IS1006a.rdhillon.s.13,The remote will be colorful and will have different colored changeable face plates.,4,"A: No , that's a good idea . | D: colourful , maybe <disfmarker> | C: Yeah even we can change colours , no ? | C: like the phones and these things we c yeah .",,,,,,
IS1006a.d05,IS1006a,IS1006a.rdhillon.s.14,The remote will be adaptable so that it can be used by right-handed and left-handed people.,3,C: Uh maybe we can change the colours that <disfmarker> at least the frame . | C: Maybe I think even we can keep two switches and then we can uh only make one working . | C: and if I'm left-hander I use this switch to follow the main operations .,,,,,,
IS1006a.d06,IS1006a,IS1006a.rdhillon.s.15,The remote will feature a button which allows the user to return to the previous channel he was viewing.,1,B: Go back button is good .,,,,,,
IS1006b.d01,IS1006b,IS1006b.rdhillon.s.10,The team will not work with teletext.,3,"A: I have been told that we uh don't consider teletext , | A: that it's out of date now because of internet . | A: And we have um maybe we have to <disfmarker> we say , only for T_V_ , not teletext ?",,,,,,frase_corta
IS1006b.d02,IS1006b,IS1006b.rdhillon.s.11,The team will concentrate on making a remote only for televisions and then make their product more generalized later.,4,"A: Since we were targeting a really soon uh uh date for the the the um i issuing of this uh remote control | A: I think we will only concentrate on T_V_ for the moment | A: and then maybe m make it more generalised <disfmarker> yeah . | A: And we have um maybe we have to <disfmarker> we say , only for T_V_ , not teletext ?",,,,,,
IS1006b.d03,IS1006b,IS1006b.rdhillon.s.12,An automatic on/off feature will not be used.,2,"C: even automatic on off is also a bit problematic , | A: Uh I think automatic on off control uh it's not possible .",,,,,,frase_corta
IS1006c.d01,IS1006c,IS1006c.rdhillon.s.10,The price of the remote to the consumer will increase if the consumer wants more colors available on the LCD screen.,0,,,,,,,sin_evidencia
IS1006c.d02,IS1006c,IS1006c.rdhillon.s.11,The remote will contain a speech recognizer.,1,C: we want the speech recogniser,,,,,,
IS1006c.d03,IS1006c,IS1006c.rdhillon.s.12,The remote will have some buttons.,1,C: and we want some kind of buttons,,,,,,frase_corta
IS1006c.d04,IS1006c,IS1006c.rdhillon.s.13,The remote will incorporate a fruit and vegetable theme.,1,"C: and we want some themes like fruits or vegetables ,",,,,,,
IS1006c.d05,IS1006c,IS1006c.rdhillon.s.14,The remote will feature an LCD screen.,1,"A: Mm I think it's what we say , that we have an uh an L_C_D_ with uh information .",,,,,,
IS1006c.d06,IS1006c,IS1006c.rdhillon.s.15,The remote will use two regular batteries.,1,C: and we just stick with two batteries,,,,,,
IS1006d.d01,IS1006d,IS1006d.vkaraisk.s.9,"After the team realised the prototype was over budget, they replaced the battery with a hand dynamo.",1,"D: So , but if we select the hand dynamo it's okay ,",,,,,,
IS1006d.d02,IS1006d,IS1006d.vkaraisk.s.10,"When it became evident from the costs of components and materials that they would have to do without either the LCD or the speech recognition, they decided to change the given prices in order to accommodate them to their design and budget.",6,"A: Apparently , we have to choose one or the other . <vocalsound> | D: if I look at what is the most expensive things , uh it's the L_C_D_ | D: and the speaker . | B: So , put minus one there , please . <vocalsound> | D: <vocalsound> I'm not sure if this is legal . | D: Okay , we're uh on target .",,,,,,posible_compuesta
