decision_id,meeting_id,source_sentence_id,sentence_text,evidence_da_count,evidence_text,status,decision_object,decision_content,annotator,notes,machine_flags
TS3011a.d01,TS3011a,TS3011a.dharshi.s.13,"The group will design a trendy, original and user-friendly remote control.",3,"A: Um and first of all it should be original , it should be trendy and user-friendly . | A: it's a remote control , | A: this new product we are are g are going to develop , um",,,,,,posible_compuesta
TS3011a.d02,TS3011a,TS3011a.dharshi.s.14,The remote control will be sold for 25 euros with a profit aim of 50 million euros.,2,"A: the remote control we are going to develop um will have a selling price of about twenty five Euros . | A: Uh the profit we are looking for for this product is fifty million Euros ,",,,,,,
TS3011a.d03,TS3011a,TS3011a.dharshi.s.15,The remote will be sold internationally.,1,"A: we uh we will focus this internationally ,",,,,,,frase_corta
TS3011a.d04,TS3011a,TS3011a.dharshi.s.16,The production costs should be no more than 12.50 euros.,1,"A: And um the production costs should not be more than uh twelve Euro fifty ,",,,,,,
TS3011a.d05,TS3011a,TS3011a.dharshi.s.17,The remote will control multiple devices.,2,B: um the remote should work on different T_V_s or even different | B: devices ?,,,,,,
TS3011a.d06,TS3011a,TS3011a.dharshi.s.18,The remote will be sold directly to individual consumers rather than companies.,3,"C: Yes , I think it should be something like that . | B: I think it's a universal remote control for customers to buy just new in uh a store . | C: we're just developing this product , and we want to sell it to a very broad uh public ,",,,,,,
TS3011b.d01,TS3011b,TS3011b.vkaraisk.s.16,LED's can be used to light up the remote.,2,"C: And um the money we save on using this we can use uh for elaborate fancy lighting uh techniques , blinking LEDs and all that kind of fancy stuff . | A: It should be an easy interface with not so much buttons . S just a a p a p a volume and a programme one . And um <vocalsound> um yeah , some some fancy lights .",,,,,,frase_corta
TS3011b.d02,TS3011b,TS3011b.vkaraisk.s.17,"Using them sparsely, as in mobile phones, could bring down the cost.",1,"B: I think it's the same as in the cell phone , just light in in the device that that shines on all the buttons ,",,,,,,posible_compuesta
TS3011b.d03,TS3011b,TS3011b.vkaraisk.s.18,"It would be a good idea to integrate a mechanism for finding the remote control, when the user loses it.",3,"D: So we might want to build in a feature to uh support them . Some uh audio signal . Like uh home phones . | A: m maybe um w we uh we do agree on on the thing that the remote should have such a function , if it's possible within the costs and all that kind of things . | D: Yeah .",,,,,,
TS3011b.d04,TS3011b,TS3011b.vkaraisk.s.19,The latter would be preferable to implementing a backlight into the remote.,2,"B: And do we even uh prefer the sound above the the LEDs , the lightning uh function ? | C: I I think so ,",,,,,,
TS3011b.d05,TS3011b,TS3011b.vkaraisk.s.20,"A single, large, round button can be used for both volume and channel selection by using the four separate quadrants.",2,"B: It's just an easy uh way of of a round button what <disfmarker> which can be pushed in four directions . Instead of a stick . | B: just a round uh button should be the trick , I think .",,,,,,posible_compuesta
TS3011b.d06,TS3011b,TS3011b.vkaraisk.s.21,Another button to switch between two channels could also be implemented.,1,A: Dual channel watch .,,,,,,
TS3011b.d07,TS3011b,TS3011b.vkaraisk.s.22,"The remote will also include volume and program selection, and speech recognition.",4,"A: but I want um the kind of functions , for example uh th the most important are volume and uh programme selecting . | C: when you add uh speech recognition to your remote control , uh it's very easy to change uh the channel . That's one thing . | A: but keep the programme and the volume , | A: It should be an easy interface with not so much buttons . S just a a p a p a volume and a programme one . And um <vocalsound> um yeah , some some fancy lights .",,,,,,posible_compuesta
TS3011b.d08,TS3011b,TS3011b.vkaraisk.s.23,A recharging cradle can be added to compensate for the extra energy consumption.,1,"D: And uh if we if we could inc uh include a c a cradle in which it could recharge , then there wouldn't be uh a big problem .",,,,,,
TS3011c.d01,TS3011c,TS3011c.vkaraisk.s.16,"Changeable covers for the remote control can link the product to current fashion trends, but also trends followed by other age groups.",2,"A: You could make a few v very colourful ones , and uh a very traditional co cover . | D: or uh like cell phones , exch exchangeable covers .",,,,,,
TS3011c.d02,TS3011c,TS3011c.vkaraisk.s.17,A scroll wheel will be included in the design.,2,"B: And and the scroll uh scroll-wheels . | A: The scroll-heel . Yes ,",,,,,,
TS3011c.d03,TS3011c,TS3011c.vkaraisk.s.18,A regular chip will be needed for this.,0,,,,,,,sin_evidencia;frase_corta
TS3011c.d04,TS3011c,TS3011c.vkaraisk.s.19,A single-curved rubber casing can also be used.,5,"C: So it it needs to be rubber . | A: But but do we want the curved uh uh design , | C: So I think this is the best of two worlds . | A: The casing is curved , single-curved . | A: Yeah , with colourful rubber .",,,,,,
TS3011c.d05,TS3011c,TS3011c.vkaraisk.s.20,LCD is not going to be implemented.,3,A: d did we already decide on the display ? | C: No . I don't think you need it . | C: And uh skip <disfmarker> and skip the L_C_D_ part .,,,,,,frase_corta
TS3011c.d06,TS3011c,TS3011c.vkaraisk.s.21,The preferred energy source was a combination of batteries and solar cells.,1,A: Traditional batteries uh and solar .,,,,,,
TS3011d.d01,TS3011d,TS3011d.vkaraisk.s.14,"The idea to include a solar cell as a power source had to be abandoned, due to the escalated costs.",2,"A: um then I did the following changes . | A: Twelve Euro forty cents I came up with by leaving out the solar cells ,",,,,,,
TS3011d.d02,TS3011d,TS3011d.vkaraisk.s.15,The same happened with the speech recognition.,1,"A: um by not using the voice recognition feature ,",,,,,,
TS3011d.d03,TS3011d,TS3011d.vkaraisk.s.16,"In order for the cost to come down to the original budget of 12.50, they also had to replace the rubber of the buttons with plastic and not use a curved design.",0,,,,,,,sin_evidencia;posible_compuesta
