decision_id,meeting_id,source_sentence_id,sentence_text,evidence_da_count,evidence_text,status,decision_object,decision_content,annotator,notes,machine_flags
ES2014a.d01,ES2014a,ES2014a.JacquelinePalmer.s.11,The group discussed the function of the prototype and decided that they should restrict the remote to television for the time being instead of allowing it to control multiple devices.,6,"C: I'm not exactly clear on what we're designing the rem remote for . | C: Is this a mun multi-functional one | B: I think you just said at the start it was a television remote control , | B: so maybe we should just stick to that unless we get told otherwise . | A: That's true , | A: But at this point in time I think you're right that uh <disfmarker> shall we make it just a T_V_ .",,,,,,
ES2014b.d01,ES2014b,ES2014b.JacquelinePalmer.s.15,The remote will feature a locator function that responds to clapping.,3,"A: Well , so maybe a clap rather than a whistle would be <disfmarker> <vocalsound> | A: On the basis that if we've got <disfmarker> if we're catering to the whole age range , you want something that's easy to do , | D: clapping , I think clapping ,",,,,,,
ES2014b.d02,ES2014b,ES2014b.JacquelinePalmer.s.16,There will be a device that allows the user to enter two numbers separately to get a two-digit number in order to reduce the overall number of buttons.,2,B: and then the the little digit next to it which kind of enabled you to put them together . | B: I'll put delay to allow um multiple numbers .,,,,,,
ES2014b.d03,ES2014b,ES2014b.JacquelinePalmer.s.17,The remote will feature a panel that hides complicated functions on the back of the device.,1,A: So so keep um keep detailed functions um hidden at the back .,,,,,,
ES2014b.d04,ES2014b,ES2014b.JacquelinePalmer.s.18,"Buttons to adjust picture quality, channel tuning, and other settings will be hidden in this panel; the number pad, the channel- and volume-changing and power buttons will remain on the main interface.",17,"D: The detailed ones would be sort of brightness , | A: So on front , | B: <gap> about the number <gap> . | B: Um the volume up and down . | B: A mute button as well . | D: And probably a power one as well . | A: <vocalsound> So so are you having the stand-by on the front , then ? | B: Um are we gonna have the channel up and down as well as the number buttons ? | D: Um 'cause yeah the market research said there is quite a lot of people do just zap around and flick , so . | D: volume is twelve , | D: Numbers is ten , | D: And a mute , yeah . | A: And then at the back ? | D: You've got brightness and contrast . | C: Uh there's audio functions . | A: You're also gonna have the channel tuner <gap> , as it were . | D: And then maybe sort of an enter button for sort of s you know , saying that you want that particular thing tuned in .",,,,,,posible_compuesta
ES2014c.d01,ES2014c,ES2014c.JacquelinePalmer.s.14,The group decided to use speech recognition but only for the locator function.,0,,,,,,,sin_evidencia
ES2014c.d02,ES2014c,ES2014c.JacquelinePalmer.s.15,"The remote will feature push buttons instead of scroll buttons, and a kinetic power supply.",4,"B: So maybe just a simple push button , | C: Yeah , a simple pushbuttons . | A: Alright , so we're just gonna have the the rubber buttons , | B: So did we did we decide on the kinetic power supply ?",,,,,,posible_compuesta
ES2014c.d03,ES2014c,ES2014c.JacquelinePalmer.s.16,The remote will contain a simple chip.,1,B: so we'd stick with the simple circuit board,,,,,,
ES2014c.d04,ES2014c,ES2014c.JacquelinePalmer.s.17,The group decided to focus on a basic remote that will appeal to the widest market.,1,A: but on this basic one I'm reckoning that we're going for the basic model to be discussed here,,,,,,
ES2014c.d05,ES2014c,ES2014c.JacquelinePalmer.s.18,"They also decided to market the speech recognition component as a ""finder function"" so as not to confuse it with more advanced speech recognition components in other remote controls.",3,"C: I think because there's already um very good voice recognition technology out there , and because ours might not cover the same functions that the leading brands do , it might be a good idea to market it as a um finder function . | A: the finder function rather than as a speech function to find your remote . | C: and and the voice recognition , we can use that can't we , just to find it . Without affecting the circuit board .",,,,,,
ES2014c.d06,ES2014c,ES2014c.JacquelinePalmer.s.19,The group decided to make the standby button in the shape of an apple.,4,"C: say the standby button is quite kinda separate from all the other functions . | C: Maybe that could be a little apple . | D: And then are we going for sort of one button shaped like a fruit . <vocalsound> Or veg . | D: Could be a red apple , yeah .",,,,,,
ES2014c.d07,ES2014c,ES2014c.JacquelinePalmer.s.20,"The remote will also feature a rubber case and rubber buttons, and a single-curved design.",6,"C: It seems like you're gonna have rubber cases , as well as buttons . | A: Rubber buttons require rubber case . <gap> | C: Shall we go for single curve , just to compromise ? | B: We'll go for single curve , yeah . | C: And the rubber push buttons , rubber case . | C: Yeah 'cause we wanna incorporate a bit of colour if we can ,",,,,,,posible_compuesta
ES2014c.d08,ES2014c,ES2014c.JacquelinePalmer.s.21,"The remote will feature the company logo, possibly in a sticker form.",2,"A: I mean a lot of um computers for instance like like on the one you've got there , it actually has a sort of um stick on badge | A: You could have your company badge and logo .",,,,,,
ES2014d.d01,ES2014d,ES2014d.vkaraisk.s.11,The remote will be single-curved with a cherry design on top.,7,"C: Y no , it's a slightly curved around the sides . <vocalsound> | D: Cherry would be alright actually . | B: We also have a apple slash cherry design at the top . | C: Yeah , and cherries are fun , summery . | C: And did we make it a cherry officially ? | A: Yeah . | A: Okay , so , by the fact that we've got uh the simple chip and the uh kinetic energy source , we've got a single curved case . We've got a rubber uh case materials supplements .",,,,,,
ES2014d.d02,ES2014d,ES2014d.vkaraisk.s.12,The case will be made of plastic.,1,"A: So we're going for plastic , yes ?",,,,,,frase_corta
ES2014d.d03,ES2014d,ES2014d.vkaraisk.s.13,The buttons will be made of rubber mostly in a light blue colour.,2,"A: Well , we decided that the blue ones were the um the standard colour . | C: I think if they were just all small round blue buttons , it'd be fine .",,,,,,
ES2014d.d04,ES2014d,ES2014d.vkaraisk.s.14,"However, volume and channel buttons will be different from the rest.",1,"D: well , we could have lemon shaped ones with the volume ones or something . <vocalsound>",,,,,,posible_compuesta
ES2014d.d05,ES2014d,ES2014d.vkaraisk.s.15,Volume buttons will be lemon-shaped and coloured.,2,"D: <vocalsound> Yeah , I mean the volume buttons could be lemons or something , maybe . <vocalsound> | D: well , we could have lemon shaped ones with the volume ones or something . <vocalsound>",,,,,,
ES2014d.d06,ES2014d,ES2014d.vkaraisk.s.16,A slide-out panel with extra buttons for less-used functions is included.,0,,,,,,,sin_evidencia
ES2014d.d07,ES2014d,ES2014d.vkaraisk.s.17,The buttons in this panel will all be in the standard blue colour.,0,,,,,,,sin_evidencia
ES2014d.d08,ES2014d,ES2014d.vkaraisk.s.18,A simple chip is going to support the electronics of the device.,1,"A: Okay , so , by the fact that we've got uh the simple chip and the uh kinetic energy source , we've got a single curved case . We've got a rubber uh case materials supplements .",,,,,,
ES2014d.d09,ES2014d,ES2014d.vkaraisk.s.19,A sample sensor was included to add speech recognition.,1,A: And the speech feature .,,,,,,
ES2014d.d10,ES2014d,ES2014d.vkaraisk.s.20,The remote is going to be powered by kinetic energy.,1,"B: Um , well we've still got the kinetic energy . Um <disfmarker>",,,,,,
