decision_id,meeting_id,source_sentence_id,sentence_text,evidence_da_count,evidence_text,status,decision_object,decision_content,annotator,notes,machine_flags
TS3009a.d01,TS3009a,TS3009a.s9553330.s.10,Specific ideas as to components and materials are to be left to the next meeting.,2,A: Well it's just uh about our first ideas now | A: so I think individually we'll have to uh come up with ideas for the next meeting about these materials and markets etcetera .,,,,,,
TS3009a.d02,TS3009a,TS3009a.s9553330.s.11,They will look further at the idea of covers in the mext meeting too.,2,D: <vocalsound> Are we going w uh with the front uh fronts uh idea ? | A: Well I think uh w we can look into that in the in the next uh thirty minutes .,,,,,,
TS3009b.d01,TS3009b,TS3009b.vkaraisk.s.11,The solution to complaints about remote controls being difficult to learn is to focus on an intuitive design instead of a thorough manual.,1,"D: So it's better to uh put our attention to the the design . So you can pick up and use it , than <disfmarker> I think .",,,,,,
TS3009b.d02,TS3009b,TS3009b.vkaraisk.s.12,"The idea of interchangeable fronts was mentioned again; if it were adopted, the company should be recognisable in all the available fronts as well as the remote itself.",2,B: I think we should go further with the idea of a removable front . | A: but i th they all have to have something about um the recognition from our company .,,,,,,
TS3009b.d03,TS3009b,TS3009b.vkaraisk.s.13,The team agreed to follow a user-centred approach and simplify the design by somehow minimising the number of buttons.,3,"C: So we have to uh change a little bit uh to that , | C: uh so that uh it becomes more user-friendly , | B: I like user-centr centred uh <vocalsound> uh also the best .",,,,,,
TS3009b.d04,TS3009b,TS3009b.vkaraisk.s.14,"An LCD screen is going to be used to display information, but would not be interactive.",4,"A: And if if that's gives you a little bit of sta status information . | D: No not clickable . | D: Alright , we go with the L_C_D_ screen ? | A: Uh well I think so , yes . Um <disfmarker>",,,,,,
TS3009b.d05,TS3009b,TS3009b.vkaraisk.s.15,"The buttons are going to include: OK, menu, screen sizing, AV, settings buttons, mute, digits 1-9, power, volume control, channel up/down.",7,"A: <vocalsound> We have a power button , setting buttons , L_C_D_ window , the number buttons <disfmarker> | C: Channel , yeah . | C: Volume control . | A: Uh the mute button . | A: Oh you always have in the centre an Okay button , for your menu . | A: Menu button . | C: Yeah . I think that's important .",,,,,,posible_compuesta
TS3009b.d06,TS3009b,TS3009b.vkaraisk.s.16,There is no need for a special button to recognise two-digit numbers.,2,A: Alright so no button for that . | A: Are we going to uh do it like uh on Mike's screen with uh one button that says I'm going to do a t two number digital ?,,,,,,
TS3009b.d07,TS3009b,TS3009b.vkaraisk.s.17,The power button will be placed at the top separately.,0,,,,,,,sin_evidencia
TS3009b.d08,TS3009b,TS3009b.vkaraisk.s.18,"The less frequently used buttons will not be hidden under a flip, as it had been previously suggested, as there are not that many of them; they will just be clearly separated from the more important ones.",3,C: But you you can put uh two or three buttons under uh another section . | A: Th that's a bit uh waste . | D: I do think we have to put that underneath a clip .,,,,,,posible_compuesta
TS3009c.d01,TS3009c,TS3009c.vkaraisk.s.14,The push buttons are going to be made of rubber.,2,"C: Uh the buttons of course rubber , | C: I think everyone agrees .",,,,,,
TS3009c.d02,TS3009c,TS3009c.vkaraisk.s.15,The chip needs to be an advanced one to be compatible with the LCD screen that is going to be incorporated in the design.,2,"C: so we uh we do have to consider uh of we have to use a more advanced chip , | C: But we do use an L_C_D_ screen ,",,,,,,
