decision_id,meeting_id,source_sentence_id,sentence_text,evidence_da_count,evidence_text,status,decision_object,decision_content,annotator,notes,machine_flags
IS1003a.d01,IS1003a,IS1003a.rdhillon.s.4,The remote will have international appeal.,2,"A: it will uh be a an international remote control , | A: so really the remote control to be international .",,,,,,frase_corta
IS1003a.d02,IS1003a,IS1003a.rdhillon.s.5,The remote will not be too expensive.,3,"A: the selling price of the product will be twenty five Euros . <vocalsound> | A: I think it's quite good price , yeah . | A: And not too expensive .",,,,,,frase_corta
IS1003a.d03,IS1003a,IS1003a.rdhillon.s.6,The remote will have new functions that existing remotes do not have.,2,A: try to create something new | A: And to be sure that really people will be interested in buying a new remote control with maybe new functionalities that don't exist in the mm existing remote controls now .,,,,,,
IS1003b.d01,IS1003b,IS1003b.rdhillon.s.8,The remote should look fancy.,1,"A: If we can make it look fancy then we might sell more than our uh concurrent ,",,,,,,frase_corta
IS1003b.d02,IS1003b,IS1003b.rdhillon.s.9,The remote should not have too many buttons.,1,"A: And definitely if it could have less buttons , still maybe the same number of um functions , but less buttons ,",,,,,,
IS1003b.d03,IS1003b,IS1003b.rdhillon.s.10,Teletext will not be used.,3,"C: the first one is that um for the designing of the remote control we don't really want to use the teletext anymore , | C: so it's better to use internet then teletext . | C: because now everybody has internet at home ,",,,,,,frase_corta
IS1003b.d04,IS1003b,IS1003b.rdhillon.s.11,The remote will only be used for televisions.,2,"C: and also the remote control will only be used for television , | C: you won't had <vocalsound> um buttons to just to manipulate <disfmarker> yeah to control the recorder or maybe the garage door or things like that .",,,,,,frase_corta
IS1003b.d05,IS1003b,IS1003b.rdhillon.s.12,The corporate logo should be recognizable on the product.,1,"C: And also we want the image of the uh um real reaction be recognisable in the product , such as the colour and s the slogan .",,,,,,
IS1003b.d06,IS1003b,IS1003b.rdhillon.s.13,The corporate color must be featured on the product.,1,"C: And also we want the image of the uh um real reaction be recognisable in the product , such as the colour and s the slogan .",,,,,,
IS1003b.d07,IS1003b,IS1003b.rdhillon.s.14,The remote has to be fashionable.,2,"C: As we say , we put the fashion in electronics , | C: so it has to be a fashion remote control . Fancy , fashion , powerful , easy to use .",,,,,,frase_corta
IS1003c.d01,IS1003c,IS1003c.rdhillon.s.9,The team will not use the intelligent controller proposed by the User Interface Designer.,1,A: I think it would be better not to do any intelligent controller,,,,,,
IS1003c.d02,IS1003c,IS1003c.rdhillon.s.10,The remote will be technologically innovative.,0,,,,,,,sin_evidencia;frase_corta
IS1003c.d03,IS1003c,IS1003c.rdhillon.s.11,The team will mix the concepts of the Google controller and the fancy controller in their design.,2,"A: Google and fancy ? | A: So maybe we'll just focus on the Google controller plus the fancy controller ,",,,,,,
IS1003c.d04,IS1003c,IS1003c.rdhillon.s.12,The remote will use solar energy.,2,"A: maybe using solar energy and <disfmarker> with battery would be something interesting , | A: maybe try to mix them these two concepts together , just in one and do a remote control with solar energy and batteries and with lev low level chips and wood .",,,,,,frase_corta
IS1003c.d05,IS1003c,IS1003c.rdhillon.s.13,The remote will use low level chips.,2,"A: Uh cheap imprint so you s you propose low level chips would be uh enough to have something working well . | A: maybe try to mix them these two concepts together , just in one and do a remote control with solar energy and batteries and with lev low level chips and wood .",,,,,,
IS1003c.d06,IS1003c,IS1003c.rdhillon.s.14,The case of the remote will be made of wood.,2,"A: so maybe we can stay with wood . | A: maybe try to mix them these two concepts together , just in one and do a remote control with solar energy and batteries and with lev low level chips and wood .",,,,,,
IS1003c.d07,IS1003c,IS1003c.rdhillon.s.15,The remote will have LCD buttons.,1,A: And L_C_D_ buttons .,,,,,,frase_corta
IS1003c.d08,IS1003c,IS1003c.rdhillon.s.16,The remote will use speech recognition for simple commands.,2,"B: Yeah , simple ones | A: Okay .",,,,,,
IS1003d.d01,IS1003d,IS1003d.rdhillon.s.10,The remote will be shaped like a pineapple.,3,A: It looks <vocalsound> more like a pineapple . | A: let's say it's a pineapple now . <vocalsound> | A: But I d m I think that it will be good to do some more work to transform this into a pineapple .,,,,,,
IS1003d.d02,IS1003d,IS1003d.rdhillon.s.11,The remote will be made of plastic.,2,"B: There's no wood , so plastic just only , I think . | B: I think you can transform the wood into plastic , maybe .",,,,,,frase_corta
IS1003d.d03,IS1003d,IS1003d.rdhillon.s.12,The case of the remote will be single curved.,1,B: Double curve . We can transform the double curve into single c yeah .,,,,,,
IS1003d.d04,IS1003d,IS1003d.rdhillon.s.13,The remote will have one solar cell.,1,A: Maybe if w t if suppose if we change and we g put just one ?,,,,,,
IS1003d.d05,IS1003d,IS1003d.rdhillon.s.14,The remote will have a scroll wheel.,2,"A: An but we have integrated scroll wheel with push dut button . | B: <gap> One s one scroll wheel , so",,,,,,frase_corta
IS1003d.d06,IS1003d,IS1003d.rdhillon.s.15,The remote will feature only one push button.,3,"A: An but we have integrated scroll wheel with push dut button . | A: <vocalsound> I think there's a problem with the push push button . | D: So we have one button ,",,,,,,
IS1003d.d07,IS1003d,IS1003d.rdhillon.s.16,The corporate logo will need to be incorporated into the product.,4,"D: Uh yeah , another thing is the logo is missing still . | D: It's <disfmarker> yeah but it <disfmarker> I don't think it's such a problem just putting the logo somewhere . | B: Uh f like y we can we can put some uh double R_ <disfmarker> | A: So maybe we can just integrate it on th on one side , the double R_ .",,,,,,
