decision_id,meeting_id,source_sentence_id,sentence_text,evidence_da_count,evidence_text,status,decision_object,decision_content,annotator,notes,machine_flags
ES2002a.d01,ES2002a,ES2002a.rdhillon.s.7,The remote will sell for 25 Euro.,2,"B: Um so according to the brief um we're gonna be selling this remote control for twenty five Euro , | B: Well twenty five Euro , I mean that's um that's about like eighteen pounds or something ,",,,,,,frase_corta
ES2002a.d02,ES2002a,ES2002a.rdhillon.s.8,The remote will be sold on an international scale.,2,"B: I mean do you think the fact that it's going to be sold internationally will have a bearing on how we design it at all ? | D: Well right away I'm wondering if there's um th th uh , like with D_V_D_ players , if there are zones .",,,,,,
ES2002a.d03,ES2002a,ES2002a.rdhillon.s.9,The production costs cannot exceed 12.50 Euro.,1,"B: And uh we don't want it to cost any more than uh twelve fifty Euros , so fifty percent of the selling price .",,,,,,
ES2002b.d01,ES2002b,ES2002b.rdhillon.s.10,The team will not work with teletext.,2,B: which is the <disfmarker> The first one <vocalsound> is that um uh the company's decided that teletext is outdated uh because of how popular the internet is . | B: so we don't really need to consider that in the functionality of the <disfmarker> of the remote control .,,,,,,frase_corta
ES2002b.d02,ES2002b,ES2002b.rdhillon.s.11,The remote will only control televisions.,2,"B: Um they've also suggested that we um we only use the remote control to control the television , not the V_C_R_ , D_V_D_ or anything else . | B: So um , we're just gonna keep it simple and it'll just control the T_V_ .",,,,,,
ES2002b.d03,ES2002b,ES2002b.rdhillon.s.12,The corporate color and design must be incorporated into the design of the remote.,1,B: And the other thing was that the company want the corporate colour and slogan to be implemented in the new design .,,,,,,
ES2002b.d04,ES2002b,ES2002b.rdhillon.s.13,"The remote will have buttons for the following functions: on and off, channel up and down, volume up and down, and entering channel numbers.",6,"C: I mean so far I've got um on and off , um switch the channel up and down , and put the volume up and down . | B: and then actual numbers for channels as well , yeah . | B: Um , so so far , just to recap you've got volume and channel control and <disfmarker> | C: There's um on and off , um volume and channel , and skip to certain channels with the numbers . | C: I think we just say that it was gonna be the the most basic stuff possible . | C: Um on off , up and down channels , up and down volume and uh skip to a channel .",,,,,,posible_compuesta
ES2002b.d05,ES2002b,ES2002b.rdhillon.s.14,The remote has to look good and be easy to use.,3,"D: one is that we want uh something that's high-tech but we want it to seem easy . | D: And in spite of the primitive side of it and the very high-tech side , we want it to just be an appealing piece of equipment in people's hands . | B: Um so yeah , I guess just things to think about are you know like the fact it's gotta look good ,",,,,,,
ES2002b.d06,ES2002b,ES2002b.rdhillon.s.15,The target demographic is people aged fifteen to thirty five.,3,"B: Okay , so fifteen to thirty five , look fairly young . | B: Are we all happy about the idea of um aiming the product at um the fifteen to thirty five bracket ? | D: Yeah , that's good .",,,,,,
ES2002b.d07,ES2002b,ES2002b.rdhillon.s.16,The remote will use an infra-red sensor.,2,"B: um because I mean it it's tried and tested intra-red , | B: so we could stay with tha",,,,,,
ES2002b.d08,ES2002b,ES2002b.rdhillon.s.17,The remote will use regular batteries.,2,"A: then I don't think rechargeable is something we should <disfmarker> you know , we really need to care about . | B: Okay , so just stick to to regular <disfmarker>",,,,,,frase_corta
ES2002c.d01,ES2002c,ES2002c.rdhillon.s.8,The remote will be curvy.,2,C: Um <vocalsound> I think we could go for like um <disfmarker> <vocalsound> maybe not a p a fruit shape but a very sort of curvy type shape . | B: So something quite curvy ?,,,,,,frase_corta
ES2002c.d02,ES2002c,ES2002c.rdhillon.s.9,The remote will be shaped like a snowman.,2,"C: I'd quite like a sort of uh snowman type shape . | C: Um so a p sort of larger bit sits in your hand , and then you got maybe another bubble at the top for just any other function you need .",,,,,,
ES2002c.d03,ES2002c,ES2002c.rdhillon.s.10,The remote will not have a talk-back function.,1,B: I would say no need for a talk-back .,,,,,,
ES2002c.d04,ES2002c,ES2002c.rdhillon.s.11,The remote will have a jog dial.,2,"D: Yeah I think the jog dial , | D: what if it was flat and you just spun it ,",,,,,,frase_corta
ES2002c.d05,ES2002c,ES2002c.rdhillon.s.12,The materials used will be plastic and rubber.,1,"D: and also t plastic I've seen can get really textured , so you can get plastics that actually feel soft in your hand .",,,,,,frase_corta
ES2002c.d06,ES2002c,ES2002c.rdhillon.s.13,The case will have a soft fruit-like feel to it.,1,A: Feel like fruit .,,,,,,
ES2002c.d07,ES2002c,ES2002c.rdhillon.s.14,The remote will not have an LCD display.,0,,,,,,,sin_evidencia;frase_corta
ES2002c.d08,ES2002c,ES2002c.rdhillon.s.15,The remote will have a kinetic battery.,0,,,,,,,sin_evidencia;frase_corta
ES2002c.d09,ES2002c,ES2002c.rdhillon.s.16,The remote will have rubber buttons.,1,B: I know we're gonna have like rubber buttons,,,,,,frase_corta
ES2002d.d01,ES2002d,ES2002d.rdhillon.s.9,The remote will not contain a kinetic battery.,4,A: No . | B: Do we have kinetic as well ? | B: And that's because of cost restraints is it ? | A: Yep .,,,,,,
ES2002d.d02,ES2002d,ES2002d.rdhillon.s.10,The remote will have a regular chip.,1,"A: The other thing could be that um you could take away the L_C_D_ panel and the advanced chip together ,",,,,,,frase_corta
ES2002d.d03,ES2002d,ES2002d.rdhillon.s.11,The case will be double-curved.,1,B: So we want double-curved ?,,,,,,frase_corta
ES2002d.d04,ES2002d,ES2002d.rdhillon.s.12,The remote will have push buttons.,1,A: We've got push buttons as well .,,,,,,frase_corta
ES2002d.d05,ES2002d,ES2002d.rdhillon.s.13,The remote will not feature an LCD display.,1,"A: The other thing could be that um you could take away the L_C_D_ panel and the advanced chip together ,",,,,,,
ES2002d.d06,ES2002d,ES2002d.rdhillon.s.14,The display will be on the television instead of on the remote.,1,"A: so when we scroll we need just some way to get the T_V_ to respond ,",,,,,,
ES2002d.d07,ES2002d,ES2002d.rdhillon.s.15,The buttons will be normal colored.,1,"A: Um so then these just become normal coloured buttons ,",,,,,,frase_corta
ES2002d.d08,ES2002d,ES2002d.rdhillon.s.16,The remote will have square buttons.,2,C: Square buttons ? | A: Yeah,,,,,,frase_corta
