decision_id,meeting_id,source_sentence_id,sentence_text,evidence_da_count,evidence_text,status,decision_object,decision_content,annotator,notes,machine_flags
TS3003a.d01,TS3003a,TS3003a.rdhillon.s.7,The selling price will be 25 Euro.,1,"A: Um as you can see , we um for our remote control , a selling price is uh twenty five Euros . Our selling price .",,,,,,frase_corta
TS3003a.d02,TS3003a,TS3003a.rdhillon.s.8,The focus will be on an international market.,1,"A: Uh we can do it international ,",,,,,,frase_corta
TS3003a.d03,TS3003a,TS3003a.rdhillon.s.9,The production cost cannot exceed 12.50 Euro.,1,"A: Our production cost um can be maximal twelve and a half Euros ,",,,,,,
TS3003a.d04,TS3003a,TS3003a.rdhillon.s.10,The remote will be able to control multiple devices.,1,"A: I think that if you can put different kind of devices in one remote control , it makes it a lot easier as well .",,,,,,
TS3003a.d05,TS3003a,TS3003a.rdhillon.s.11,The remote will be shockproof.,1,D: Think it has to be shock proof,,,,,,frase_corta
TS3003a.d06,TS3003a,TS3003a.rdhillon.s.12,The remote will be waterproof.,1,"B: Waterproof ,",,,,,,frase_corta
TS3003b.d01,TS3003b,TS3003b.rdhillon.s.8,The remote will only be used for televisions.,1,A: we've uh got to design a um remote which is only suitable for T_V_ .,,,,,,frase_corta
TS3003b.d02,TS3003b,TS3003b.rdhillon.s.9,The user target group consists of adults age sixty to eighty.,2,"A: Because I think what we're going to design now is for people above sixty , maybe . | A: <gap> Now you're talking about sixty to eighty for example .",,,,,,
TS3003b.d03,TS3003b,TS3003b.rdhillon.s.10,The corporate image must be visible in the design of the remote.,0,,,,,,,sin_evidencia
TS3003b.d04,TS3003b,TS3003b.rdhillon.s.11,The team will implement teletext in their design if it does not cost too much.,2,"A: Uh I think teletext can be uh | A: um can be a function as well . But only if uh if it won't higher the the cost ,",,,,,,
TS3003b.d05,TS3003b,TS3003b.rdhillon.s.12,The remote will only have a few buttons.,1,"A: Few buttons , we talked about that . Docking station , L_C_D_ . Um general functions <disfmarker>",,,,,,
TS3003b.d06,TS3003b,TS3003b.rdhillon.s.13,The remote will have a docking station.,1,"A: Few buttons , we talked about that . Docking station , L_C_D_ . Um general functions <disfmarker>",,,,,,frase_corta
TS3003b.d07,TS3003b,TS3003b.rdhillon.s.14,The remote will have an audio signal to allow users to locate it when misplaced-the team will focus on creating a remote for elderly people.,0,,,,,,,sin_evidencia
TS3003b.d08,TS3003b,TS3003b.rdhillon.s.15,The remote will feature a small LCD screen.,2,"D: it might be a good idea to have just a little screen on it , | A: Few buttons , we talked about that . Docking station , L_C_D_ . Um general functions <disfmarker>",,,,,,
TS3003b.d09,TS3003b,TS3003b.rdhillon.s.16,The remote will be fancy.,2,D: If we're able to really bring an innovative product . | D: which would explain a button if you press it .,,,,,,frase_corta
TS3003b.d10,TS3003b,TS3003b.rdhillon.s.17,The remote will be easy to learn.,1,"D: it might be a good idea to have just a little screen on it ,",,,,,,frase_corta
TS3003b.d11,TS3003b,TS3003b.rdhillon.s.18,The remote will be made to accommodate different languages.,3,"A: In different languages , you know . | D: adapt it to different cultures . | D: And with uh the little screen in it , <gap> which explains the buttons . You could <disfmarker> I think we n it would be a lot easier to",,,,,,
TS3003c.d01,TS3003c,TS3003c.rdhillon.s.9,The remote will have a docking station.,2,A: let me just choose for the battery . | A: but I think just a simple battery which you can reload on a docking station is just as good .,,,,,,frase_corta
TS3003c.d02,TS3003c,TS3003c.rdhillon.s.10,The remote will use a conventional battery and a docking station which recharges the battery.,2,A: but I think just a simple battery which you can reload on a docking station is just as good . | A: let me just choose for the battery .,,,,,,
TS3003c.d03,TS3003c,TS3003c.rdhillon.s.11,The remote will use an advanced chip.,2,C: So it's gotta be advanced . | A: That brings us to the chip .,,,,,,frase_corta
TS3003c.d04,TS3003c,TS3003c.rdhillon.s.12,The remote will have changeable case covers.,4,B: Uh is it possible uh to make um changeable uh case . | A: I think that's a very good option . | A: everybody's okay with the changing covers ? | A: I think that's a good uh good option .,,,,,,
TS3003c.d05,TS3003c,TS3003c.rdhillon.s.13,The case covers will be available in wood or plastic.,0,,,,,,,sin_evidencia
TS3003c.d06,TS3003c,TS3003c.rdhillon.s.14,The case will be single curved.,1,"A: I suggest um the single curved ,",,,,,,frase_corta
TS3003d.d01,TS3003d,TS3003d.vkaraisk.s.13,The prototype will use a rechargable battery.,0,,,,,,,sin_evidencia;frase_corta
TS3003d.d02,TS3003d,TS3003d.vkaraisk.s.14,The case will be plastic and will be made in single-curve form.,1,D: I still think we should go for the single curve design .,,,,,,
TS3003d.d03,TS3003d,TS3003d.vkaraisk.s.15,"Five buttons are going to be used: one for channel selection, one for volume (both assisted by the scrollwheel), teletext, on-off and help button.",0,,,,,,,sin_evidencia;posible_compuesta
TS3003d.d04,TS3003d,TS3003d.vkaraisk.s.16,These would be made of rubber in a colour different from that of the case.,0,,,,,,,sin_evidencia
TS3003d.d05,TS3003d,TS3003d.vkaraisk.s.17,"Their functionality will be enriched by the use of a scrollwheel (going up or down the channel list, changing the volume, etc.).",0,,,,,,,sin_evidencia;posible_compuesta
TS3003d.d06,TS3003d,TS3003d.vkaraisk.s.18,Standard buttons like the ones for teletext shortcuts were considered superfluous.,2,"A: So we make one for the volume , one for the channel . Plus scroll . | A: can't we integrate the teletext and the subtitles in one button ?",,,,,,
TS3003d.d07,TS3003d,TS3003d.vkaraisk.s.19,"An LCD screen will be providing functional information, and context tips when using the scrollwheel.",3,"A: If you scroll you will see the numbers on the L_C_D_ display . | A: And we can keep our L_C_D_ screen , | A: which can provide extra information . How to use the scroll wheel . How to use the other bu buttons as subtitles .",,,,,,posible_compuesta
